username,Label,text,date,bot
rushd13,Negatif,siswa guru positif covid gelar ptm batas,12/23/2021,0
blue_rass,Positif,guru mingu ptm neng sedih huhu,12/23/2021,0
NewAcco35052417,Positif,ptm patuh prokes jalan lancar pasti panjang vaksinasi guru ajar aman vaksin tenaga didik,12/23/2021,0
GATRA_com,Negatif,puluh siswa ptm purbalinga positf covid,12/23/2021,0
beritaKBR,Positif,mendikbud nadiem makarim sebut khawatir tren muncul covid sat ptm gelar khawatir persen sekolah laksana ptm penuh tentu,12/23/2021,0
HCHYUCK,Positif,semangat ptm libur yaudah,12/23/2021,0
kontenislam_com,Positif,muncul klaster covid ribu sekolah,12/23/2021,0
joontaehope,Negatif,sekolah dadak anjir besok suruh ptm,12/23/2021,0
dianrestoe,Positif,tweps ngantar anak sulung sma kelas xi sekolah ambil buku ajar arah alhamdulilah mingu sekolah ptm batas prokes pasti,12/23/2021,0
mellifdoie,Positif,pala sakit cenat cenut semalem ajar mtk smpe malem trus bangun ptm tidur,12/23/2021,0
vananaadsk,Positif,nontonin temen ptm,12/23/2021,0
emoeno,Positif,moga cpt ptm stres rumah,12/23/2021,0
infobdg,Positif,sekda pasti bandung klaster ptm,12/22/2021,0
Ndhyung,Positif,kangen sekolah ptm buka jalan lancar patuh prokes aman vaksin tenaga didik,12/22/2021,0
CNNIndonesia,Negatif,ganjar dukung ptm tular,12/22/2021,0
Metro__id,Negatif,perintah stop ptm sekolah libat baco ajar kota bogor hinga tewas,12/22/2021,0
KabarGunkid,Negatif,siswa positif covid,12/22/2021,0
alois_bedrich,Positif,dukung ptm pandemi covid trade mark trade mark,12/22/2021,0
jjeonghanieyo,Negatif,malas ptm,12/22/2021,0
indozonemedia,Negatif,jubir satgas tangan covid giat ajar tatap muka ptm sekolah tutup temu positif,12/22/2021,0
txtdarismavo,Positif,besok ptm bismilah moga besok mudah lancar bilang banyak ovt lucu ovt skrg wkwkwk yaudah doa moga besok,12/22/2021,0
tr33gonometreyy,Positif,ptm njer telpon wakel gara kelas kasi sempat ptm ngisi tuju formnya,12/22/2021,0
kalla_jengking,Positif,ptm nanti ajar guru tua ptm langsung terus bangsa ptm terap prokes,12/22/2021,0
IyahNamaku,Positif,pj anak turun loh capai ajar diberlakukanya ptm anak anak kangen sekolah vaksin tenaga didik,12/21/2021,0
nawacitamedia,Positif,klaster covid sekolah,12/21/2021,0
